ctr	0.00115071	0.00046066	-0.00031548	-0.00018702	-0.00024035	-0.00006708
sn	0.43773751	0.22071012	-0.10160887	0.05652119	0.13403651	0.35493652
flux	39.23762553	15.70777190	-10.75740858	-6.37720468	-8.19546259	-2.28731473
	pct_25673_ncorr_50_pos_(22.0, 33.0)	pct_25673_ncorr_50_pos_(22.0, 33.0)	pct_25673_ncorr_50_pos_(22.0, 33.0)	pct_25673_ncorr_50_pos_(22.0, 33.0)	pct_25673_ncorr_50_pos_(22.0, 33.0)	pct_25673_ncorr_50_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00113700	-0.00174828	0.00115870	0.00036920	0.00026584	-0.00005588
sn	-0.12203017	-0.42436155	0.48331314	0.52356218	0.63739772	0.11361989
flux	-38.77001820	-59.61383334	39.51017963	12.58921546	9.06484958	-1.90535617
	pct_25673_ncorr_100_pos_(22.0, 33.0)	pct_25673_ncorr_100_pos_(22.0, 33.0)	pct_25673_ncorr_100_pos_(22.0, 33.0)	pct_25673_ncorr_100_pos_(22.0, 33.0)	pct_25673_ncorr_100_pos_(22.0, 33.0)	pct_25673_ncorr_100_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00154615	-0.00226813	0.00046083	-0.00015820	0.00009243	-0.00009697
sn	-0.20917332	-0.42505147	0.23871563	-0.04838466	0.35189552	-0.22857078
flux	-52.72144317	-77.34014038	15.71369255	-5.39438117	3.15157984	-3.30657274
	pct_64184_ncorr_50_pos_(22.0, 33.0)	pct_64184_ncorr_50_pos_(22.0, 33.0)	pct_64184_ncorr_50_pos_(22.0, 33.0)	pct_64184_ncorr_50_pos_(22.0, 33.0)	pct_64184_ncorr_50_pos_(22.0, 33.0)	pct_64184_ncorr_50_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00191553	-0.00296165	-0.00018476	0.00021986	0.00040663	0.00005700
sn	0.04759373	-0.53245138	0.00572747	0.29416632	0.65700834	0.51240214
flux	-65.31674300	-100.98810374	-6.30014150	7.49691558	13.86565247	1.94358799
	pct_64184_ncorr_100_pos_(22.0, 33.0)	pct_64184_ncorr_100_pos_(22.0, 33.0)	pct_64184_ncorr_100_pos_(22.0, 33.0)	pct_64184_ncorr_100_pos_(22.0, 33.0)	pct_64184_ncorr_100_pos_(22.0, 33.0)	pct_64184_ncorr_100_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00111596	-0.00093636	-0.00118370	0.00002876	0.00020585	0.00001315
sn	0.19993925	0.06259069	-0.49842602	0.28348203	0.55963839	0.10509036
flux	-38.05249417	-31.92838383	-40.36237251	0.98078990	7.01925240	0.44837138
	pct_128368_ncorr_50_pos_(22.0, 33.0)	pct_128368_ncorr_50_pos_(22.0, 33.0)	pct_128368_ncorr_50_pos_(22.0, 33.0)	pct_128368_ncorr_50_pos_(22.0, 33.0)	pct_128368_ncorr_50_pos_(22.0, 33.0)	pct_128368_ncorr_50_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00176390	-0.00177915	-0.00027836	-0.00042734	-0.00062925	-0.00010981
sn	-0.23085084	-0.12986020	0.15160705	-0.05530809	-0.48765099	-0.04754900
flux	-60.14651164	-60.66648245	-9.49184037	-14.57153884	-21.45644703	-3.74430018
	pct_128368_ncorr_100_pos_(22.0, 33.0)	pct_128368_ncorr_100_pos_(22.0, 33.0)	pct_128368_ncorr_100_pos_(22.0, 33.0)	pct_128368_ncorr_100_pos_(22.0, 33.0)	pct_128368_ncorr_100_pos_(22.0, 33.0)	pct_128368_ncorr_100_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	0.00113945	-0.00152538	-0.00142979	-0.00025117	-0.00000427	-0.00004695
sn	0.49633465	-0.12985741	-0.52363376	-0.10306821	0.04378027	-0.15089192
flux	38.85363189	-52.01340021	-48.75391823	-8.56457515	-0.14554436	-1.60091129
	pct_1283_ncomp_20_pos_(22.0, 33.0)	pct_1283_ncomp_20_pos_(22.0, 33.0)
	50	100
ctr	0.01015563	0.00283838
sn	0.58972105	0.29021619
flux	346.29249779	96.78481082
	pct_1283_ncomp_40_pos_(22.0, 33.0)	pct_1283_ncomp_40_pos_(22.0, 33.0)
	50	100
ctr	0.00600552	0.00502699
sn	0.42413454	0.53791954
flux	204.77965022	171.41328662
	pct_1283_ncomp_60_pos_(22.0, 33.0)	pct_1283_ncomp_60_pos_(22.0, 33.0)
	50	100
ctr	0.00354108	0.00645008
sn	0.37899984	0.84984784
flux	120.74581103	219.93863297
	pct_1283_ncomp_80_pos_(22.0, 33.0)	pct_1283_ncomp_80_pos_(22.0, 33.0)
	50	100
ctr	0.00108738	0.00218877
sn	0.15155142	0.45845381
flux	37.07825656	74.63389183
	pct_1283_ncomp_100_pos_(22.0, 33.0)	pct_1283_ncomp_100_pos_(22.0, 33.0)
	50	100
ctr	0.00046760	0.00103438
sn	0.10915533	0.24583525
flux	15.94462209	35.27095438
	pct_1283_ncomp_150_pos_(22.0, 33.0)	pct_1283_ncomp_150_pos_(22.0, 33.0)
	50	100
ctr	0.00033441	0.00054383
sn	0.16242584	0.29505664
flux	11.40292011	18.54374383
